"lon","lat","chlorophyll_mg_m3","euph_depth_m","mld_depth_m"
170.5,89.5,NA,NA,NA
171.5,89.5,NA,NA,NA
172.5,89.5,NA,NA,NA
173.5,89.5,NA,NA,NA
174.5,89.5,NA,NA,NA
175.5,89.5,NA,NA,NA
176.5,89.5,NA,NA,NA
177.5,89.5,NA,NA,NA
178.5,89.5,NA,NA,NA
179.5,89.5,NA,NA,NA
-179.5,88.5,NA,NA,NA
-178.5,88.5,NA,NA,NA
-177.5,88.5,NA,NA,NA
-176.5,88.5,NA,NA,NA
-175.5,88.5,NA,NA,NA
-174.5,88.5,NA,NA,49.6946465523697
-173.5,88.5,NA,NA,NA
-172.5,88.5,NA,NA,15.4913024966918
-171.5,88.5,NA,NA,NA
-170.5,88.5,NA,NA,NA
-169.5,88.5,NA,NA,16.2628800298018
-168.5,88.5,NA,NA,21.8220384228146
-167.5,88.5,NA,NA,NA
-166.5,88.5,NA,NA,NA
-165.5,88.5,NA,NA,NA
-164.5,88.5,NA,NA,NA
-163.5,88.5,NA,NA,NA
-162.5,88.5,NA,NA,NA
-161.5,88.5,NA,NA,NA
-160.5,88.5,NA,NA,NA
-159.5,88.5,NA,NA,NA
-158.5,88.5,NA,NA,NA
-157.5,88.5,NA,NA,NA
-156.5,88.5,NA,NA,NA
-155.5,88.5,NA,NA,NA
-154.5,88.5,NA,NA,NA
-153.5,88.5,NA,NA,NA
-152.5,88.5,NA,NA,NA
-151.5,88.5,NA,NA,NA
-150.5,88.5,NA,NA,NA
-149.5,88.5,NA,NA,NA
-148.5,88.5,NA,NA,NA
-147.5,88.5,NA,NA,NA
-146.5,88.5,NA,NA,NA
-145.5,88.5,NA,NA,NA
-144.5,88.5,NA,NA,NA
-143.5,88.5,NA,NA,NA
-142.5,88.5,NA,NA,NA
-141.5,88.5,NA,NA,NA
-140.5,88.5,NA,NA,NA
-139.5,88.5,NA,NA,NA
-138.5,88.5,NA,NA,NA
-137.5,88.5,NA,NA,NA
-136.5,88.5,NA,NA,NA
-135.5,88.5,NA,NA,NA
-134.5,88.5,NA,NA,NA
-133.5,88.5,NA,NA,NA
-132.5,88.5,NA,NA,NA
-131.5,88.5,NA,NA,NA
-130.5,88.5,NA,NA,NA
-129.5,88.5,NA,NA,NA
-128.5,88.5,NA,NA,NA
-127.5,88.5,NA,NA,NA
-126.5,88.5,NA,NA,NA
-125.5,88.5,NA,NA,NA
-124.5,88.5,NA,NA,NA
-123.5,88.5,NA,NA,NA
-122.5,88.5,NA,NA,NA
-121.5,88.5,NA,NA,NA
-120.5,88.5,NA,NA,NA
-119.5,88.5,NA,NA,NA
-118.5,88.5,NA,NA,NA
-117.5,88.5,NA,NA,NA
-116.5,88.5,NA,NA,NA
-115.5,88.5,NA,NA,NA
-114.5,88.5,NA,NA,NA
-113.5,88.5,NA,NA,NA
-112.5,88.5,NA,NA,NA
-111.5,88.5,NA,NA,NA
-110.5,88.5,NA,NA,NA
-109.5,88.5,NA,NA,NA
-108.5,88.5,NA,NA,NA
-107.5,88.5,NA,NA,NA
-106.5,88.5,NA,NA,NA
-105.5,88.5,NA,NA,NA
-104.5,88.5,NA,NA,NA
-103.5,88.5,NA,NA,NA
-102.5,88.5,NA,NA,NA
-101.5,88.5,NA,NA,NA
-100.5,88.5,NA,NA,NA
-99.5,88.5,NA,NA,NA
-98.5,88.5,NA,NA,NA
-97.5,88.5,NA,NA,NA
-96.5,88.5,NA,NA,NA
-95.5,88.5,NA,NA,NA
-94.5,88.5,NA,NA,NA
-93.5,88.5,NA,NA,NA
-92.5,88.5,NA,NA,NA
-91.5,88.5,NA,NA,NA
-90.5,88.5,NA,NA,NA
-89.5,88.5,NA,NA,NA
-88.5,88.5,NA,NA,NA
-87.5,88.5,NA,NA,NA
-86.5,88.5,NA,NA,NA
-85.5,88.5,NA,NA,NA
-84.5,88.5,NA,NA,NA
-83.5,88.5,NA,NA,NA
-82.5,88.5,NA,NA,NA
-81.5,88.5,NA,NA,NA
-80.5,88.5,NA,NA,NA
-79.5,88.5,NA,NA,NA
-78.5,88.5,NA,NA,NA
-77.5,88.5,NA,NA,NA
-76.5,88.5,NA,NA,NA
-75.5,88.5,NA,NA,NA
-74.5,88.5,NA,NA,NA
-73.5,88.5,NA,NA,NA
-72.5,88.5,NA,NA,NA
-71.5,88.5,NA,NA,NA
-70.5,88.5,NA,NA,NA
-69.5,88.5,NA,NA,NA
-68.5,88.5,NA,NA,NA
-67.5,88.5,NA,NA,NA
-66.5,88.5,NA,NA,NA
-65.5,88.5,NA,NA,NA
-64.5,88.5,NA,NA,NA
-63.5,88.5,NA,NA,NA
-62.5,88.5,NA,NA,NA
-61.5,88.5,NA,NA,NA
-60.5,88.5,NA,NA,NA
-59.5,88.5,NA,NA,NA
-58.5,88.5,NA,NA,NA
-57.5,88.5,NA,NA,NA
-56.5,88.5,NA,NA,NA
-55.5,88.5,NA,NA,NA
-54.5,88.5,NA,NA,NA
-53.5,88.5,NA,NA,NA
-52.5,88.5,NA,NA,NA
-51.5,88.5,NA,NA,NA
-50.5,88.5,NA,NA,NA
-49.5,88.5,NA,NA,NA
-48.5,88.5,NA,NA,NA
-47.5,88.5,NA,NA,NA
-46.5,88.5,NA,NA,NA
-45.5,88.5,NA,NA,NA
-44.5,88.5,NA,NA,NA
-43.5,88.5,NA,NA,NA
-42.5,88.5,NA,NA,NA
-41.5,88.5,NA,NA,NA
-40.5,88.5,NA,NA,NA
-39.5,88.5,NA,NA,NA
-38.5,88.5,NA,NA,NA
-37.5,88.5,NA,NA,NA
-36.5,88.5,NA,NA,NA
-35.5,88.5,NA,NA,NA
-34.5,88.5,NA,NA,NA
-33.5,88.5,NA,NA,NA
-32.5,88.5,NA,NA,NA
-31.5,88.5,NA,NA,NA
-30.5,88.5,NA,NA,NA
-29.5,88.5,NA,NA,NA
-28.5,88.5,NA,NA,NA
-27.5,88.5,NA,NA,NA
-26.5,88.5,NA,NA,NA
-25.5,88.5,NA,NA,NA
-24.5,88.5,NA,NA,NA
-23.5,88.5,NA,NA,NA
-22.5,88.5,NA,NA,NA
-21.5,88.5,NA,NA,19.0721805190067
-20.5,88.5,NA,NA,NA
-19.5,88.5,NA,NA,21.4857498566363
-18.5,88.5,NA,NA,25.5412744033777
-17.5,88.5,NA,NA,NA
-16.5,88.5,NA,NA,23.8992866937114
-15.5,88.5,NA,NA,NA
-14.5,88.5,NA,NA,NA
-13.5,88.5,NA,NA,NA
-12.5,88.5,NA,NA,19.2352667682744
-11.5,88.5,NA,NA,NA
-10.5,88.5,NA,NA,NA
-9.5,88.5,NA,NA,24.453199364978
-8.5,88.5,NA,NA,16.9404218208661
-7.5,88.5,NA,NA,20.0843062490707
-6.5,88.5,NA,NA,23.0434393785116
-5.5,88.5,NA,NA,17.9642430198528
-4.5,88.5,NA,NA,24.5323530852859
-3.5,88.5,NA,NA,28.597698670544
-2.5,88.5,NA,NA,27.7041863268289
-1.5,88.5,NA,NA,20.8130738103526
-0.5,88.5,NA,NA,29.6774360434824
0.5,88.5,NA,NA,27.7766529438723
1.5,88.5,NA,NA,20.6152534149467
2.5,88.5,NA,NA,25.8328330273648
3.5,88.5,NA,NA,25.18505919635
4.5,88.5,NA,NA,12.5237063149898
5.5,88.5,NA,NA,16.6079006947613
6.5,88.5,NA,NA,13.9243459064076
7.5,88.5,NA,NA,12.9062070997161
8.5,88.5,NA,NA,17.4894536309436
9.5,88.5,NA,NA,NA
10.5,88.5,NA,NA,12.365480781289
11.5,88.5,NA,NA,11.653218661524
12.5,88.5,NA,NA,13.1271505739815
13.5,88.5,NA,NA,14.9505020360481
14.5,88.5,NA,NA,13.3546695199002
15.5,88.5,NA,NA,11.8807541521828
16.5,88.5,NA,NA,NA
17.5,88.5,NA,NA,20.7933519679394
18.5,88.5,NA,NA,NA
19.5,88.5,NA,NA,NA
20.5,88.5,NA,NA,NA
21.5,88.5,NA,NA,NA
22.5,88.5,NA,NA,NA
23.5,88.5,NA,NA,NA
24.5,88.5,NA,NA,NA
25.5,88.5,NA,NA,14.4131003873907
26.5,88.5,NA,NA,13.7898821570898
27.5,88.5,NA,NA,14.5614540925899
28.5,88.5,NA,NA,NA
29.5,88.5,NA,NA,NA
30.5,88.5,NA,NA,NA
31.5,88.5,NA,NA,NA
32.5,88.5,NA,NA,NA
33.5,88.5,NA,NA,NA
34.5,88.5,NA,NA,NA
35.5,88.5,NA,NA,NA
36.5,88.5,NA,NA,NA
37.5,88.5,NA,NA,NA
38.5,88.5,NA,NA,NA
39.5,88.5,NA,NA,NA
40.5,88.5,NA,NA,NA
41.5,88.5,NA,NA,NA
42.5,88.5,NA,NA,NA
43.5,88.5,NA,NA,NA
44.5,88.5,NA,NA,NA
45.5,88.5,NA,NA,NA
46.5,88.5,NA,NA,NA
47.5,88.5,NA,NA,NA
48.5,88.5,NA,NA,NA
49.5,88.5,NA,NA,NA
50.5,88.5,NA,NA,NA
51.5,88.5,NA,NA,NA
52.5,88.5,NA,NA,NA
53.5,88.5,NA,NA,NA
54.5,88.5,NA,NA,NA
55.5,88.5,NA,NA,35.254327949499
56.5,88.5,NA,NA,39.942576752917
57.5,88.5,NA,NA,NA
58.5,88.5,NA,NA,NA
59.5,88.5,NA,NA,NA
60.5,88.5,NA,NA,NA
61.5,88.5,NA,NA,NA
62.5,88.5,NA,NA,NA
63.5,88.5,NA,NA,34.7202153441502
64.5,88.5,NA,NA,42.2965445347381
65.5,88.5,NA,NA,NA
66.5,88.5,NA,NA,NA
67.5,88.5,NA,NA,NA
68.5,88.5,NA,NA,NA
69.5,88.5,NA,NA,NA
70.5,88.5,NA,NA,NA
71.5,88.5,NA,NA,NA
72.5,88.5,NA,NA,NA
73.5,88.5,NA,NA,NA
74.5,88.5,NA,NA,NA
75.5,88.5,NA,NA,NA
76.5,88.5,NA,NA,NA
77.5,88.5,NA,NA,NA
78.5,88.5,NA,NA,NA
79.5,88.5,NA,NA,NA
80.5,88.5,NA,NA,NA
81.5,88.5,NA,NA,NA
82.5,88.5,NA,NA,NA
83.5,88.5,NA,NA,NA
84.5,88.5,NA,NA,NA
85.5,88.5,NA,NA,NA
86.5,88.5,NA,NA,NA
87.5,88.5,NA,NA,NA
88.5,88.5,NA,NA,NA
89.5,88.5,NA,NA,NA
90.5,88.5,NA,NA,NA
91.5,88.5,NA,NA,NA
92.5,88.5,NA,NA,NA
93.5,88.5,NA,NA,NA
94.5,88.5,NA,NA,NA
95.5,88.5,NA,NA,NA
96.5,88.5,NA,NA,NA
97.5,88.5,NA,NA,NA
98.5,88.5,NA,NA,NA
99.5,88.5,NA,NA,NA
100.5,88.5,NA,NA,NA
101.5,88.5,NA,NA,NA
102.5,88.5,NA,NA,NA
103.5,88.5,NA,NA,NA
104.5,88.5,NA,NA,NA
105.5,88.5,NA,NA,NA
106.5,88.5,NA,NA,NA
107.5,88.5,NA,NA,NA
108.5,88.5,NA,NA,NA
109.5,88.5,NA,NA,NA
110.5,88.5,NA,NA,NA
111.5,88.5,NA,NA,NA
112.5,88.5,NA,NA,NA
113.5,88.5,NA,NA,NA
114.5,88.5,NA,NA,NA
115.5,88.5,NA,NA,NA
116.5,88.5,NA,NA,NA
117.5,88.5,NA,NA,NA
118.5,88.5,NA,NA,NA
119.5,88.5,NA,NA,NA
120.5,88.5,NA,NA,NA
121.5,88.5,NA,NA,NA
122.5,88.5,NA,NA,NA
123.5,88.5,NA,NA,NA
124.5,88.5,NA,NA,NA
125.5,88.5,NA,NA,NA
126.5,88.5,NA,NA,NA
127.5,88.5,NA,NA,NA
128.5,88.5,NA,NA,NA
129.5,88.5,NA,NA,NA
130.5,88.5,NA,NA,NA
131.5,88.5,NA,NA,NA
132.5,88.5,NA,NA,NA
133.5,88.5,NA,NA,NA
134.5,88.5,NA,NA,NA
135.5,88.5,NA,NA,NA
136.5,88.5,NA,NA,NA
137.5,88.5,NA,NA,NA
138.5,88.5,NA,NA,NA
139.5,88.5,NA,NA,NA
140.5,88.5,NA,NA,NA
141.5,88.5,NA,NA,NA
142.5,88.5,NA,NA,NA
143.5,88.5,NA,NA,NA
144.5,88.5,NA,NA,NA
145.5,88.5,NA,NA,NA
146.5,88.5,NA,NA,NA
147.5,88.5,NA,NA,NA
148.5,88.5,NA,NA,NA
149.5,88.5,NA,NA,NA
150.5,88.5,NA,NA,NA
151.5,88.5,NA,NA,NA
152.5,88.5,NA,NA,NA
153.5,88.5,NA,NA,NA
154.5,88.5,NA,NA,NA
155.5,88.5,NA,NA,NA
156.5,88.5,NA,NA,NA
157.5,88.5,NA,NA,NA
158.5,88.5,NA,NA,NA
159.5,88.5,NA,NA,NA
160.5,88.5,NA,NA,NA
161.5,88.5,NA,NA,NA
162.5,88.5,NA,NA,NA
163.5,88.5,NA,NA,NA
164.5,88.5,NA,NA,NA
165.5,88.5,NA,NA,NA
166.5,88.5,NA,NA,39.6656479892182
167.5,88.5,NA,NA,NA
168.5,88.5,NA,NA,NA
169.5,88.5,NA,NA,NA
170.5,88.5,NA,NA,NA
171.5,88.5,NA,NA,NA
172.5,88.5,NA,NA,NA
173.5,88.5,NA,NA,41.5053152927926
174.5,88.5,NA,NA,NA
175.5,88.5,NA,NA,NA
176.5,88.5,NA,NA,NA
177.5,88.5,NA,NA,NA
178.5,88.5,NA,NA,NA
179.5,88.5,NA,NA,NA
-179.5,87.5,NA,NA,NA
-178.5,87.5,NA,NA,NA
-177.5,87.5,NA,NA,NA
-176.5,87.5,NA,NA,NA
-175.5,87.5,NA,NA,NA
-174.5,87.5,NA,NA,NA
-173.5,87.5,NA,NA,NA
-172.5,87.5,NA,NA,NA
-171.5,87.5,NA,NA,NA
-170.5,87.5,NA,NA,NA
-169.5,87.5,NA,NA,NA
-168.5,87.5,NA,NA,NA
-167.5,87.5,NA,NA,NA
-166.5,87.5,NA,NA,NA
-165.5,87.5,NA,NA,NA
-164.5,87.5,NA,NA,NA
-163.5,87.5,NA,NA,NA
-162.5,87.5,NA,NA,NA
-161.5,87.5,NA,NA,NA
-160.5,87.5,NA,NA,NA
-159.5,87.5,NA,NA,NA
-158.5,87.5,NA,NA,NA
-157.5,87.5,NA,NA,NA
-156.5,87.5,NA,NA,NA
-155.5,87.5,NA,NA,NA
-154.5,87.5,NA,NA,NA
-153.5,87.5,NA,NA,NA
-152.5,87.5,NA,NA,NA
-151.5,87.5,NA,NA,NA
-150.5,87.5,NA,NA,NA
-149.5,87.5,NA,NA,NA
-148.5,87.5,NA,NA,NA
-147.5,87.5,NA,NA,NA
-146.5,87.5,NA,NA,NA
-145.5,87.5,NA,NA,NA
-144.5,87.5,NA,NA,NA
-143.5,87.5,NA,NA,NA
-142.5,87.5,NA,NA,NA
-141.5,87.5,NA,NA,NA
-140.5,87.5,NA,NA,NA
-139.5,87.5,NA,NA,NA
-138.5,87.5,NA,NA,NA
-137.5,87.5,NA,NA,NA
-136.5,87.5,NA,NA,NA
-135.5,87.5,NA,NA,NA
-134.5,87.5,NA,NA,NA
