"log10_Vol_um3","log10_fgC","Source"
-0.876602713960143,0.951817722763547,"Sargasso Sea, n = 145"
-0.935423885948484,0.776957254726987,"Sargasso Sea, n = 145"
-0.829793714449073,0.922364388824618,"Sargasso Sea, n = 145"
-1.02283274599438,1.07670584337687,"Sargasso Sea, n = 145"
-0.993700021641147,0.974356576637714,"Sargasso Sea, n = 145"
-0.929204059986053,1.02509838706661,"Sargasso Sea, n = 145"
-0.964193252771269,1.12747971476434,"Sargasso Sea, n = 145"
-1.0578219387796,1.1790871710746,"Sargasso Sea, n = 145"
-0.82368075834854,1.0975134054883,"Sargasso Sea, n = 145"
-0.829355548015293,1.22163206309597,"Sargasso Sea, n = 145"
-0.677301108507643,1.07481424682129,"Sargasso Sea, n = 145"
-0.601134957933351,1.09629508906267,"Sargasso Sea, n = 145"
-0.560054183019982,1.15446435489344,"Sargasso Sea, n = 145"
