"lon","lat","boats_tcb_gCm3","feisty_tcb_gCm3","feisty_b10_gCm3"
-126.5,89.5,0.15101108836631,0.489819264923902,0.317375919791893
-125.5,89.5,0.150947682311138,0.489728673559078,0.317303237091388
-124.5,89.5,0.150884185855587,0.489638084439318,0.317230540859922
-123.5,89.5,0.15082055789729,0.489547534537234,0.317157853232813
-122.5,89.5,0.150756909574072,0.48945695817648,0.317085118330903
-121.5,89.5,0.150693216299017,0.489366371129778,0.317012338853147
-120.5,89.5,0.150629528115193,0.489275733186699,0.316939480232894
-119.5,89.5,0.150565817331274,0.489185025984157,0.316866525293835
-118.5,89.5,0.150502105429769,0.489094268158058,0.316793477116499
-117.5,89.5,0.150438376888633,0.489003417016619,0.316720302706587
-116.5,89.5,0.150374289477865,0.488912448028523,0.316646973118739
-115.5,89.5,0.150310026978453,0.488821360903743,0.316573484256942
-114.5,89.5,0.150245741009712,0.488730169411343,0.31649984072337
-113.5,89.5,0.150181533644597,0.488638815990607,0.316425992959386
-112.5,89.5,0.15011728964746,0.488547297123367,0.316351932775698
-111.5,89.5,0.150053088366985,0.488455611766896,0.316277653223141
-110.5,89.5,0.149988816430171,0.488363749580077,0.316203142782224
-109.5,89.5,0.149924513821801,0.488271699563775,0.316128389571518
-108.5,89.5,0.149860074246923,0.48817942407722,0.316053357209191
-107.5,89.5,0.149795507142941,0.48808695025231,0.315978063182248
-106.5,89.5,0.149730900923411,0.487994255679239,0.315902482614419
-105.5,89.5,0.149666351204117,0.487901296052531,0.315826582460053
-104.5,89.5,0.149601887787382,0.487808126906158,0.315750397425609
-103.5,89.5,0.149537484596173,0.487714707412828,0.315673893112976
-102.5,89.5,0.149473055948814,0.487621036330403,0.315597064187303
-101.5,89.5,0.149408663685123,0.487527104019435,0.315519898698568
-100.5,89.5,0.149344266454379,0.487432911643063,0.315442396956042
-99.5,89.5,0.149279740080237,0.487338456034468,0.315364549009697
-98.5,89.5,0.149215200915933,0.48724373833242,0.315286356333438
-97.5,89.5,0.149150631204247,0.487148723516558,0.315207785624012
-96.5,89.5,0.149086018651724,0.487053471299365,0.315128882554716
-95.5,89.5,0.149021388962865,0.486957917348376,0.315049596360931
-94.5,89.5,0.148956659560402,0.486862112451058,0.314969964099586
-93.5,89.5,0.148891705647111,0.486766018050912,0.314889949579255
-92.5,89.5,0.148826660340031,0.486669642284364,0.314809557998015
-91.5,89.5,0.148761453355352,0.486573021308878,0.314728817099558
-90.5,89.5,0.148696111142635,0.486476141335207,0.31464771645401
-89.5,89.5,0.148630676418543,0.486379004266923,0.314566252570544
-88.5,89.5,0.148565245295564,0.486281606279638,0.314484419865397
-87.5,89.5,0.148499794428547,0.486183946567956,0.314402220698008
-86.5,89.5,0.148468873774012,0.490581618733492,0.315950811177075
-85.5,89.5,0.148468054831028,0.490514642868248,0.315895392288406
-84.5,89.5,0.148467562968532,0.490448051879921,0.315840232510072
-83.5,89.5,0.148467617978652,0.490381910522488,0.3157853878404
-82.5,89.5,0.148468434562286,0.490316208795985,0.315730849048576
-81.5,89.5,0.148469918717941,0.490250999382534,0.315676663195003
-80.5,89.5,0.148472194994489,0.490186236181864,0.315622792578789
-79.5,89.5,0.148475140829881,0.49012200454997,0.315569308964823
-78.5,89.5,0.148478610441089,0.490058255227808,0.315516174279224
-77.5,89.5,0.14848267386357,0.489995051990308,0.315463441679967
-76.5,89.5,0.148487470919887,0.489932388945356,0.315411111875779
-75.5,89.5,0.148492923006415,0.48987030476358,0.315359216083824
-74.5,89.5,0.148498917122682,0.489808842364898,0.315307792611728
-73.5,89.5,0.148505627860626,0.489747963814925,0.315256813087808
-72.5,89.5,0.148515678072969,0.485226529107539,0.313617679851503
-71.5,89.5,0.148526569207509,0.485196272913883,0.313597055135289
-70.5,89.5,0.148538007711371,0.485165952027782,0.313576363424363
-69.5,89.5,0.148550094664097,0.485135674115941,0.31355569665769
-68.5,89.5,0.148562689373891,0.485105385462569,0.313535010472061
-67.5,89.5,0.148575835550825,0.485075127078685,0.313514338110781
-66.5,89.5,0.148589588453372,0.48504487482911,0.313493661572121
-65.5,89.5,0.148604099700848,0.485014587727069,0.313472943330791
-64.5,89.5,0.14861922301352,0.484984343974672,0.313452250518731
-63.5,89.5,0.148635020231207,0.484954079515368,0.313431529951571
-62.5,89.5,0.148651602988442,0.48492385717746,0.313410833874889
-61.5,89.5,0.148668861885866,0.484893586307823,0.313390082849415
-60.5,89.5,0.148686665420731,0.484863349692031,0.31336935194526
-59.5,89.5,0.148705095176895,0.484833093104699,0.313348591377049
-58.5,89.5,0.148724315191309,0.484802875233075,0.31332785307555
-57.5,89.5,0.148744051655134,0.484772626144751,0.313307075827726
-56.5,89.5,0.14876444550852,0.484742384257264,0.313286293718866
-55.5,89.5,0.148785540834069,0.484712160726334,0.313265513844813
-54.5,89.5,0.14880728845795,0.484681920713518,0.313244708799848
-53.5,89.5,0.148829676583409,0.484651660286702,0.313223876513378
-52.5,89.5,0.148852686459819,0.484621442582317,0.313203067253498
-51.5,89.5,0.148876519749562,0.484591183829985,0.313182210578579
-50.5,89.5,0.148904870202144,0.480629885623934,0.311729892968384
