MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
4,68.37,39.93,17.5,1.4256,0.579999987,-94.48819,0.870757401,-0.060102826,1.243038049,0.153997687
9,76.5,70,17.5,3.0888,2.66999994,-125.98425,2.523602724,0.402020988,1.243038049,0.489789789
9,74.5,68.33,17.5,4.752,4.649999896,-62.992126,3.700844765,0.568300869,1.243038049,0.676876432
9,76.5,72.47,17.5,4.752,3.164999929,-125.98425,2.540636063,0.404942458,1.243038049,0.676876432
9,74.5,65.1,37.5,0.4752,4.084999909,-125.98425,2.232220173,0.348737029,1.574031268,-0.323123568
9,76.5,72.47,37.5,0.9504,3.164999929,-125.98425,2.540636063,0.404942458,1.574031268,-0.022093572
4,68.53,38.73,37.5,0.9504,1.174999974,-62.992126,0.583383441,-0.234045902,1.574031268,-0.022093572
9,69.62,34.692,37.5,0.9504,9.164999795,-125.98425,0.796133935,-0.099013864,1.574031268,-0.022093572
9,69.47,34.55,37.5,0.9504,9.259999793,-125.98425,1.069192886,0.029056061,1.574031268,-0.022093572
9,69.62,35.38,37.5,0.9504,9.164999795,-157.48032,0.720656097,-0.142271935,1.574031268,-0.022093572
9,73,56.67,37.5,3.3264,3.719999917,0,2.985327482,0.474991979,1.574031268,0.521974472
9,76.5,72.47,62.5,1.9008,3.164999929,-125.98425,2.540636063,0.404942458,1.795880017,0.278936423
3,69.62,35.38,75,0.4752,2.859999936,-157.48032,0.388043851,-0.411119194,1.875061263,-0.323123568
9,69.62,34.692,75,0.4752,9.164999795,-125.98425,0.796133935,-0.099013864,1.875061263,-0.323123568
9,69.47,34.55,75,2.6136,9.259999793,-125.98425,1.069192886,0.029056061,1.875061263,0.417239121
9,74.5,60.83,87.5,0.9504,3.499999922,-251.9685,3.289906979,0.517183619,1.942008053,-0.022093572
9,69.47,34.55,126,1.6632,9.259999793,-125.98425,1.069192886,0.029056061,2.100370545,0.220944476
9,69.62,34.692,130,0.7128,9.164999795,-125.98425,0.796133935,-0.099013864,2.113943352,-0.147032309
9,69.33,35.23,75,0.9504,9.204999794,-157.48032,1.4639467,0.165525265,1.875061263,-0.022093572
9,69.267,35.269,115.5,7.128,9.204999794,-157.48032,1.454506993,0.162715814,2.062581984,0.852967691
9,69.33,35.23,118,0.7128,9.204999794,-157.48032,1.4639467,0.165525265,2.071882007,-0.147032309
