"Surface_Chlorophyll_a","Latitude","Longitude","Acantharia_.mgC.m2.","Collodaria_.mgC.m2.","Phaeodaria_.mgC.m2.","Rhizaria_.other._.mgC.m2.","Layer_depth_.m.","SST","BATHY","CHLO","tot_rhiz","upperz","lowerz","avez","rhiz_dens","logchlo","Depth","logdepth","logBiom"
0.051915,33.625,32.7135,0,0,635.565175399149,158.775083926893,"0-500",22.2795833333333,-1259.8425,0.051915,794.470389023302,500,0,250,1.58868051865208,-1.28470714165019,251,2.39967372148104,2.90007771510736
0.0502925,33.6248,32.773,0,1290.49674306726,59.5986540538748,0,"0-500",22.2891666666667,-1259.8425,0.0502925,1350.22552681839,500,0,250,2.70019079424227,-1.29849677541071,251,2.39967372148104,3.13040631432646
0.04993,33.5753,32.7718,0,161.53615451181,331.119396260403,141.968864886515,"0-500",22.3120833333333,-1259.8425,0.04993,634.754545355988,500,0,250,1.26924883131746,-1.30163843394489,251,2.39967372148104,2.80260581945668
0.0495775,33.5252,32.7725,0,6.74630211282164,366.352298651985,68.1145692741689,"0-500",22.3120833333333,-1259.8425,0.0495775,441.343299736236,500,0,250,0.882426340077951,-1.30471537679327,251,2.39967372148104,2.64477653772144
0.0521425,33.525,32.7143,0,327.973300888362,104.845887003591,74.4715267436507,"0-500",22.2991666666667,-1259.8425,0.0521425,507.420844332864,500,0,250,1.01458142927121,-1.28280815018771,251,2.39967372148104,2.70536830362833
0.05279,33.5255,32.6542,0,22.9299636388671,69.6212638383374,0,"0-500",22.2916666666667,-1259.8425,0.05279,92.6813571744643,500,0,250,0.185102454954409,-1.27744833799904,251,2.39967372148104,1.96699238473237
0.0527256,33.5772,32.6535,0,75.2139425233102,394.41869007448,109.363751614136,"0-500",22.2916666666667,-1259.8425,0.0527256,579.126513909186,500,0,250,1.15799276842385,-1.27797846943188,251,2.39967372148104,2.76277344851282
0.052125,33.575,32.7142,0,85.0208100320058,200.586467829549,94.1517610599312,"0-500",22.2991666666667,-1259.8425,0.052125,379.889168618746,500,0,250,0.759518077842972,-1.28295393201819,251,2.39967372148104,2.57965691114838
0.0503333,33.6728,32.7747,0,0,49.4061480520544,0,"0-500",22.26625,-1259.8425,0.0503333,49.5362777493142,500,0,250,0.0988122961041088,-1.29814459503883,251,2.39967372148104,1.69492336975755
0.05186,33.6752,32.714,0,0,639.290145827918,192.420794263551,"0-500",22.2616666666667,-1259.8425,0.05186,831.841069788729,500,0,250,1.66342188018294,-1.28516748756667,251,2.39967372148104,2.92004035861403
0.05233,33.6762,32.6553,0,569.666251045478,620.192033923857,25.3906775845411,"0-500",22.2616666666667,-1259.8425,0.05233,1215.37909225114,500,0,250,2.43049792510775,-1.28124926526033,251,2.39967372148104,3.08471176105683
0.0526367,33.6755,32.5942,0,106.074963796481,1174.15592364009,86.5029491932993,"0-500",22.2616666666667,-1259.8425,0.0526367,1366.86396632713,500,0,250,2.73346767325974,-1.2787113461554,251,2.39967372148104,3.13572529466057
