"","X","MON","YEAR","lat","lon","depth","biomass_mgC_m3","SST","BATHY","CHLO","logchlo","logdepth","logBiom"
"4009",4009,7,"Core data repeated below for different types of ciliates",-41.5,171.6,101,0.05,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,2.00432137378264,-1.30102999566398
"4010",4010,6,"Core data repeated below for different types of ciliates",-41.5,171.6,151,0.02,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,2.17897694729317,-1.69897000433602
"4022",4022,7,"Core data repeated below for different types of ciliates",-42.5,171.25,1,1.08,11.1349997511134,0,3.57824969291687,0.553670642679749,0,0.0334237554869497
"4024",4024,7,"Core data repeated below for different types of ciliates",-42.5,171.25,26,1.27,11.1349997511134,0,3.57824969291687,0.553670642679749,1.41497334797082,0.103803720955957
"4026",4026,7,"Core data repeated below for different types of ciliates",-42.5,171.25,76,0.71,11.1349997511134,0,3.57824969291687,0.553670642679749,1.88081359228079,-0.148741651280925
"4048",4048,7,"Core data repeated from above - different types of ciliates",-41.3,171.3,2,4.05,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,0.301029995663981,0.607455023214668
"4049",4049,6,"Core data repeated from above - different types of ciliates",-41.3,171.3,11,7.08,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,1.04139268515823,0.850033257689769
"4050",4050,7,"Core data repeated from above - different types of ciliates",-41.3,171.3,26,5.11,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,1.41497334797082,0.708420900134713
"4051",4051,6,"Core data repeated from above - different types of ciliates",-41.3,171.3,51,3.83,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,1.70757017609794,0.583198773968623
"4052",4052,6,"Core data repeated from above - different types of ciliates",-41.3,171.3,101,1.77,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,2.00432137378264,0.247973266361807
"4053",4053,7,"Core data repeated from above - different types of ciliates",-41.3,171.3,151,1.65,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,2.17897694729317,0.217483944213906
"4054",4054,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,2,8.79,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,0.301029995663981,0.943988875073772
"4055",4055,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,11,10.05,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.04139268515823,1.00216606175651
"4056",4056,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,16,2.68,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.20411998265592,0.428134794028789
"4057",4057,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,26,5.68,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.41497334797082,0.754348335711019
"4058",4058,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,46,5.65,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.66275783168157,0.752048447819439
"4059",4059,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,61,7.03,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.78532983501077,0.846955325019824
"4060",4060,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,76,0.16,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.88081359228079,-0.795880017344075
"4061",4061,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,101,0.06,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,2.00432137378264,-1.22184874961636
"4062",4062,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,151,0.05,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,2.17897694729317,-1.30102999566398
"4076",4076,7,"Core data repeated from above - different types of ciliates",-42.5,171.25,1,1.04,11.1349997511134,0,3.57824969291687,0.553670642679749,0,0.0170333392987804
"4078",4078,7,"Core data repeated from above - different types of ciliates",-42.5,171.25,26,1.16,11.1349997511134,0,3.57824969291687,0.553670642679749,1.41497334797082,0.0644579892269184
"4080",4080,7,"Core data repeated from above - different types of ciliates",-42.5,171.25,76,0.7,11.1349997511134,0,3.57824969291687,0.553670642679749,1.88081359228079,-0.154901959985743
"4082",4082,7,"Core data repeated from above - different types of ciliates",-42.5,171.25,126,0.17,11.1349997511134,0,3.57824969291687,0.553670642679749,2.10037054511756,-0.769551078621726
"4084",4084,7,"Core data repeated from above - different types of ciliates",-42.5,171.25,200,0.1,11.1349997511134,0,3.57824969291687,0.553670642679749,2.30102999566398,-1
"4105",4105,7,"Core data repeated from above - different types of ciliates",-41.3,171.3,2,4.01,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,0.301029995663981,0.603144372620182
"4106",4106,6,"Core data repeated from above - different types of ciliates",-41.3,171.3,11,7.16,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,1.04139268515823,0.854913022307856
"4107",4107,7,"Core data repeated from above - different types of ciliates",-41.3,171.3,26,4.64,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,1.41497334797082,0.666517980554881
"4108",4108,6,"Core data repeated from above - different types of ciliates",-41.3,171.3,51,3.37,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,1.70757017609794,0.527629900871339
"4109",4109,6,"Core data repeated from above - different types of ciliates",-41.3,171.3,101,1.72,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,2.00432137378264,0.235528446907549
"4110",4110,7,"Core data repeated from above - different types of ciliates",-41.3,171.3,151,1.65,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,2.17897694729317,0.217483944213906
